pool,address,role,note
Binance Pool,sys1q7dhpvz2yv809fasj6a69wx5wlrtklgq07gfq3p,payout,known Binance Pool payout address
F2Pool,SfUhN3iM1mSwSZ1X4U9EtcUrfNJmT543gY,payout,known F2Pool payout address
ViaBTC,sys1qvf6jplsx4sdf25jeshw6dgsc4q3g08y3jln2c8,payout sample,ViaBTC rotating payout example
ViaBTC,sys1qmkmfxu2jla7fas6vxl3xgeuzcz88y68tru95w4,payout sample,ViaBTC rotating payout example
ViaBTC,sys1qkjqkwy3yz8r6fyn259g8e2dcjy99rxlyxwxlmw,payout sample,ViaBTC rotating payout example
ViaBTC,sys1qy3rrc3sgkyjk90rc054k32yp7rjwjcxudcyt9x,payout sample,ViaBTC rotating payout example
